Symbol,Company Name,Industry,Series,ISIN Code
NAUKRI,Info Edge (India) Ltd.,IT,EQ,INE663F01024
INFY,Infosys Ltd.,IT,EQ,INE009A01021
INGERRAND,Ingersoll Rand (India) Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE177A01018
INOXLEISUR,Inox Leisure Ltd.,MEDIA & ENTERTAINMENT,EQ,INE312H01016
INTELLECT,Intellect Design Arena Ltd.,IT,EQ,INE306R01017
INDIGO,InterGlobe Aviation Ltd.,SERVICES,EQ,INE646L01027
IPCALAB,Ipca Laboratories Ltd.,PHARMA,EQ,INE571A01020
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,EQ,INE572A01028
JKCEMENT,J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE823G01014
JKLAKSHMI,JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE786A01032
JKPAPER,JK Paper Ltd.,PAPER,EQ,INE789E01012
JKTYRE,JK Tyre & Industries Ltd.,AUTOMOBILE,EQ,INE573A01042
JMFINANCIL,JM Financial Ltd.,FINANCIAL SERVICES,EQ,INE780C01023
JSWENERGY,JSW Energy Ltd.,POWER,EQ,INE121E01018
JSWSTEEL,JSW Steel Ltd.,METALS,EQ,INE019A01038
JAGRAN,Jagran Prakashan Ltd.,MEDIA & ENTERTAINMENT,EQ,INE199G01027
JAICORPLTD,Jai Corp Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE070D01027
J&KBANK,Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,EQ,INE168A01041
JAMNAAUTO,Jamna Auto Industries Ltd.,AUTOMOBILE,EQ,INE039C01032
JINDALSAW,Jindal Saw Ltd.,METALS,EQ,INE324A01024
JSLHISAR,Jindal Stainless (Hisar) Ltd.,METALS,EQ,INE455T01018
JSL,Jindal Stainless Ltd.,METALS,EQ,INE220G01021
JINDALSTEL,Jindal Steel & Power Ltd.,METALS,EQ,INE749A01030
JCHAC,Johnson Controls - Hitachi Air Conditioning India Ltd.,CONSUMER GOODS,EQ,INE782A01015
JUBLFOOD,Jubilant Foodworks Ltd.,CONSUMER GOODS,EQ,INE797F01012
JUBILANT,Jubilant Life Sciences Ltd.,PHARMA,EQ,INE700A01033
JUSTDIAL,Justdial Ltd.,IT,EQ,INE599M01018
JYOTHYLAB,Jyothy Labs Ltd.,CONSUMER GOODS,EQ,INE668F01031
KPRMILL,K.P.R. Mill Ltd.,TEXTILES,EQ,INE930H01023
KEI,KEI Industries Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE878B01027
KNRCON,KNR Constructions Ltd.,CONSTRUCTION,EQ,INE634I01029
KPITTECH,KPIT Technologies Ltd.,IT,EQ,INE04I401011
KRBL,KRBL Ltd.,CONSUMER GOODS,EQ,INE001B01026
KSB,KSB Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE999A01015
KAJARIACER,Kajaria Ceramics Ltd.,CONSTRUCTION,EQ,INE217B01036
KALPATPOWR,Kalpataru Power Transmission Ltd.,POWER,EQ,INE220B01022
KANSAINER,Kansai Nerolac Paints Ltd.,CONSUMER GOODS,EQ,INE531A01024
KTKBANK,Karnataka Bank Ltd.,FINANCIAL SERVICES,EQ,INE614B01018
KARURVYSYA,Karur Vysya Bank Ltd.,FINANCIAL SERVICES,EQ,INE036D01028
KSCL,Kaveri Seed Company Ltd.,CONSUMER GOODS,EQ,INE455I01029
KEC,Kec International Ltd.,CONSTRUCTION,EQ,INE389H01022
KOLTEPATIL,Kolte-Patil Developers Ltd.,CONSTRUCTION,EQ,INE094I01018
KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,EQ,INE237A01028
L&TFH,L&T Finance Holdings Ltd.,FINANCIAL SERVICES,EQ,INE498L01015
LTTS,L&T Technology Services Ltd.,IT,EQ,INE010V01017
LICHSGFIN,LIC Housing Finance Ltd.,FINANCIAL SERVICES,EQ,INE115A01026
LAOPALA,La Opala RG Ltd.,CONSUMER GOODS,EQ,INE059D01020
LAXMIMACH,Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE269B01029
LTI,Larsen & Toubro Infotech Ltd.,IT,EQ,INE214T01019
LT,Larsen & Toubro Ltd.,CONSTRUCTION,EQ,INE018A01030
LAURUSLABS,Laurus Labs Ltd.,PHARMA,EQ,INE947Q01010
LEMONTREE,Lemon Tree Hotels Ltd.,SERVICES,EQ,INE970X01018
LINDEINDIA,Linde India Ltd.,CHEMICALS,EQ,INE473A01011
LUPIN,Lupin Ltd.,PHARMA,EQ,INE326A01037
LUXIND,Lux Industries Ltd.,TEXTILES,EQ,INE150G01020
MASFIN,MAS Financial Services Ltd.,FINANCIAL SERVICES,EQ,INE348L01012
MMTC,MMTC Ltd.,SERVICES,EQ,INE123F01029
MOIL,MOIL Ltd.,METALS,EQ,INE490G01020
MRF,MRF Ltd.,AUTOMOBILE,EQ,INE883A01011
MGL,Mahanagar Gas Ltd.,OIL & GAS,EQ,INE002S01010
MAHSCOOTER,Maharashtra Scooters Ltd.,AUTOMOBILE,EQ,INE288A01013
MAHSEAMLES,Maharashtra Seamless Ltd.,METALS,EQ,INE271B01025
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,EQ,INE774D01024
M&M,Mahindra & Mahindra Ltd.,AUTOMOBILE,EQ,INE101A01026
MAHINDCIE,Mahindra CIE Automotive Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE536H01010
MHRIL,Mahindra Holidays & Resorts India Ltd.,SERVICES,EQ,INE998I01010
MAHLOG,Mahindra Logistics Ltd.,SERVICES,EQ,INE766P01016
MANAPPURAM,Manappuram Finance Ltd.,FINANCIAL SERVICES,EQ,INE522D01027
MRPL,Mangalore Refinery & Petrochemicals Ltd.,OIL & GAS,EQ,INE103A01014
MARICO,Marico Ltd.,CONSUMER GOODS,EQ,INE196A01026
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILE,EQ,INE585B01010
MFSL,Max Financial Services Ltd.,FINANCIAL SERVICES,EQ,INE180A01020
METROPOLIS,Metropolis Healthcare Ltd.,HEALTHCARE SERVICES,EQ,INE112L01020
MINDTREE,MindTree Ltd.,IT,EQ,INE018I01017
MINDACORP,Minda Corporation Ltd.,AUTOMOBILE,EQ,INE842C01021
MINDAIND,Minda Industries Ltd.,AUTOMOBILE,EQ,INE405E01023
MIDHANI,Mishra Dhatu Nigam Ltd.,METALS,EQ,INE099Z01011
MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTOMOBILE,EQ,INE775A01035
MOTILALOFS,Motilal Oswal Financial Services Ltd.,FINANCIAL SERVICES,EQ,INE338I01027
MPHASIS,MphasiS Ltd.,IT,EQ,INE356A01018
MCX,Multi Commodity Exchange of India Ltd.,FINANCIAL SERVICES,EQ,INE745G01035
MUTHOOTFIN,Muthoot Finance Ltd.,FINANCIAL SERVICES,EQ,INE414G01012
NATCOPHARM,NATCO Pharma Ltd.,PHARMA,EQ,INE987B01026
NBCC,NBCC (India) Ltd.,CONSTRUCTION,EQ,INE095N01031
NCC,NCC Ltd.,CONSTRUCTION,EQ,INE868B01028
NESCO,NESCO Ltd.,SERVICES,EQ,INE317F01035
NHPC,NHPC Ltd.,POWER,EQ,INE848E01016
NLCINDIA,NLC India Ltd.,POWER,EQ,INE589A01014
NMDC,NMDC Ltd.,METALS,EQ,INE584A01023
NTPC,NTPC Ltd.,POWER,EQ,INE733E01010
NH,Narayana Hrudayalaya Ltd.,HEALTHCARE SERVICES,EQ,INE410P01011
NATIONALUM,National Aluminium Co. Ltd.,METALS,EQ,INE139A01034
NFL,National Fertilizers Ltd.,FERTILISERS & PESTICIDES,EQ,INE870D01012
NBVENTURES,Nava Bharat Ventures Ltd.,POWER,EQ,INE725A01022
NAVINFLUOR,Navin Fluorine International Ltd.,CHEMICALS,EQ,INE048G01026
NESTLEIND,Nestle India Ltd.,CONSUMER GOODS,EQ,INE239A01016
NILKAMAL,Nilkamal Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE310A01015
NAM-INDIA,Nippon Life India Asset Management Ltd.,FINANCIAL SERVICES,EQ,INE298J01013
OBEROIRLTY,Oberoi Realty Ltd.,CONSTRUCTION,EQ,INE093I01010
ONGC,Oil & Natural Gas Corporation Ltd.,OIL & GAS,EQ,INE213A01029
OIL,Oil India Ltd.,OIL & GAS,EQ,INE274J01014
OMAXE,Omaxe Ltd.,CONSTRUCTION,EQ,INE800H01010
OFSS,Oracle Financial Services Software Ltd.,IT,EQ,INE881D01027
ORIENTCEM,Orient Cement Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE876N01018
ORIENTELEC,Orient Electric Ltd.,CONSUMER GOODS,EQ,INE142Z01019
ORIENTREF,Orient Refractories Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE743M01012
PIIND,PI Industries Ltd.,FERTILISERS & PESTICIDES,EQ,INE603J01030
PNBHOUSING,PNB Housing Finance Ltd.,FINANCIAL SERVICES,EQ,INE572E01012
PNCINFRA,PNC Infratech Ltd.,CONSTRUCTION,EQ,INE195J01029
PTC,PTC India Ltd.,POWER,EQ,INE877F01012
PVR,PVR Ltd.,MEDIA & ENTERTAINMENT,EQ,INE191H01014
PAGEIND,Page Industries Ltd.,TEXTILES,EQ,INE761H01022
PERSISTENT,Persistent Systems Ltd.,IT,EQ,INE262H01013
PETRONET,Petronet LNG Ltd.,OIL & GAS,EQ,INE347G01014
PFIZER,Pfizer Ltd.,PHARMA,EQ,INE182A01018
PHILIPCARB,Phillips Carbon Black Ltd.,CHEMICALS,EQ,INE602A01023
PHOENIXLTD,Phoenix Mills Ltd.,CONSTRUCTION,EQ,INE211B01039
PIDILITIND,Pidilite Industries Ltd.,CHEMICALS,EQ,INE318A01026
PEL,Piramal Enterprises Ltd.,FINANCIAL SERVICES,EQ,INE140A01024
POLYMED,Poly Medicure Ltd.,PHARMA,EQ,INE205C01021
POLYCAB,Polycab India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE455K01017
PFC,Power Finance Corporation Ltd.,FINANCIAL SERVICES,EQ,INE134E01011
POWERGRID,Power Grid Corporation of India Ltd.,POWER,EQ,INE752E01010
PRAJIND,Praj Industries Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE074A01025
PRESTIGE,Prestige Estates Projects Ltd.,CONSTRUCTION,EQ,INE811K01011
PRSMJOHNSN,Prism Johnson Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE010A01011
PGHL,Procter & Gamble Health Ltd.,PHARMA,EQ,INE199A01012
PGHH,Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,EQ,INE179A01014
PNB,Punjab National Bank,FINANCIAL SERVICES,EQ,INE160A01022
QUESS,Quess Corp Ltd.,SERVICES,EQ,INE615P01015
RBLBANK,RBL Bank Ltd.,FINANCIAL SERVICES,EQ,INE976G01028
RECLTD,REC Ltd.,FINANCIAL SERVICES,EQ,INE020B01018
RITES,RITES Ltd.,SERVICES,EQ,INE320J01015
RADICO,Radico Khaitan Ltd,CONSUMER GOODS,EQ,INE944F01028
RVNL,Rail Vikas Nigam Ltd.,CONSTRUCTION,EQ,INE415G01027
RAIN,Rain Industries Ltd,CHEMICALS,EQ,INE855B01025
RAJESHEXPO,Rajesh Exports Ltd.,CONSUMER GOODS,EQ,INE343B01030
RALLIS,Rallis India Ltd.,FERTILISERS & PESTICIDES,EQ,INE613A01020
RCF,Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,EQ,INE027A01015
RATNAMANI,Ratnamani Metals & Tubes Ltd.,METALS,EQ,INE703B01027
RAYMOND,Raymond Ltd.,TEXTILES,EQ,INE301A01014
REDINGTON,Redington (India) Ltd.,SERVICES,EQ,INE891D01026
RELAXO,Relaxo Footwears Ltd.,CONSUMER GOODS,EQ,INE131B01039
RELIANCE,Reliance Industries Ltd.,OIL & GAS,EQ,INE002A01018
REPCOHOME,Repco Home Finance Ltd.,FINANCIAL SERVICES,EQ,INE612J01015
SBICARD,SBI Cards and Payment Services Ltd.,FINANCIAL SERVICES,EQ,INE018E01016
SBILIFE,SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,EQ,INE123W01016
SJVN,SJVN Ltd.,POWER,EQ,INE002L01015
SKFINDIA,SKF India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE640A01023
SRF,SRF Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE647A01010
SADBHAV,Sadbhav Engineering Ltd.,CONSTRUCTION,EQ,INE226H01026
SANOFI,Sanofi India Ltd.,PHARMA,EQ,INE058A01010
SCHAEFFLER,Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE513A01014
SCHNEIDER,Schneider Electric Infrastructure Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE839M01018
SIS,Security and Intelligence Services (India) Ltd.,SERVICES,EQ,INE285J01028
SEQUENT,Sequent Scientific Ltd.,PHARMA,EQ,INE807F01027
SFL,Sheela Foam Ltd.,CONSUMER GOODS,EQ,INE916U01025
SCI,Shipping Corporation of India Ltd.,SERVICES,EQ,INE109A01011
SHOPERSTOP,Shoppers Stop Ltd.,CONSUMER GOODS,EQ,INE498B01024
SHREECEM,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE070A01015
RENUKA,Shree Renuka Sugars Ltd.,CONSUMER GOODS,EQ,INE087H01022
SHRIRAMCIT,Shriram City Union Finance Ltd.,FINANCIAL SERVICES,EQ,INE722A01011
SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,EQ,INE721A01013
SIEMENS,Siemens Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE003A01024
SOBHA,Sobha Ltd.,CONSTRUCTION,EQ,INE671H01015
SOLARINDS,Solar Industries India Ltd.,CHEMICALS,EQ,INE343H01029
SONATSOFTW,Sonata Software Ltd.,IT,EQ,INE269A01021
SOUTHBANK,South Indian Bank Ltd.,FINANCIAL SERVICES,EQ,INE683A01023
SPANDANA,Spandana Sphoorty Financial Ltd.,FINANCIAL SERVICES,EQ,INE572J01011
SPICEJET,Spicejet Ltd.,SERVICES,EQ,INE285B01017
STARCEMENT,Star Cement Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE460H01021
SBIN,State Bank of India,FINANCIAL SERVICES,EQ,INE062A01020
SAIL,Steel Authority of India Ltd.,METALS,EQ,INE114A01011
SWSOLAR,Sterling And Wilson Solar Ltd.,CONSTRUCTION,EQ,INE00M201021
STRTECH,Sterlite Technologies Ltd.,TELECOM,EQ,INE089C01029
STAR,Strides Pharma Science Ltd.,PHARMA,EQ,INE939A01011
SUDARSCHEM,Sudarshan Chemical Industries Ltd.,CHEMICALS,EQ,INE659A01023
SUMICHEM,Sumitomo Chemical India Ltd.,CHEMICALS,EQ,INE258G01013
SPARC,Sun Pharma Advanced Research Company Ltd.,PHARMA,EQ,INE232I01014
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA,EQ,INE044A01036
SUNTV,Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,EQ,INE424H01027
SUNDARMFIN,Sundaram Finance Ltd.,FINANCIAL SERVICES,EQ,INE660A01013
SUNDRMFAST,Sundram Fasteners Ltd.,AUTOMOBILE,EQ,INE387A01021
SUNTECK,Sunteck Realty Ltd.,CONSTRUCTION,EQ,INE805D01034
SUPRAJIT,Suprajit Engineering Ltd.,AUTOMOBILE,EQ,INE399C01030
SUPREMEIND,Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE195A01028
SUZLON,Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE040H01021
SWANENERGY,Swan Energy Ltd.,CONSTRUCTION,EQ,INE665A01038
SYMPHONY,Symphony Ltd.,CONSUMER GOODS,EQ,INE225D01027
SYNGENE,Syngene International Ltd.,PHARMA,EQ,INE398R01022
TCIEXP,TCI Express Ltd.,SERVICES,EQ,INE586V01016
TCNSBRANDS,TCNS Clothing Co. Ltd.,TEXTILES,EQ,INE778U01029
TTKPRESTIG,TTK Prestige Ltd.,CONSUMER GOODS,EQ,INE690A01010
TVTODAY,TV Today Network Ltd.,MEDIA & ENTERTAINMENT,EQ,INE038F01029
TV18BRDCST,TV18 Broadcast Ltd.,MEDIA & ENTERTAINMENT,EQ,INE886H01027
TVSMOTOR,TVS Motor Company Ltd.,AUTOMOBILE,EQ,INE494B01023
TAKE,Take Solutions Ltd.,PHARMA,EQ,INE142I01023
TASTYBITE,Tasty Bite Eatables Ltd.,CONSUMER GOODS,EQ,INE488B01017
TATACOMM,Tata Communications Ltd.,TELECOM,EQ,INE151A01013
TCS,Tata Consultancy Services Ltd.,IT,EQ,INE467B01029
TATACONSUM,Tata Consumer Products Ltd.,CONSUMER GOODS,EQ,INE192A01025
TATAELXSI,Tata Elxsi Ltd.,IT,EQ,INE670A01012
TATAINVEST,Tata Investment Corporation Ltd.,FINANCIAL SERVICES,EQ,INE672A01018
TATAMTRDVR,Tata Motors Ltd DVR,AUTOMOBILE,EQ,IN9155A01020
TATAMOTORS,Tata Motors Ltd.,AUTOMOBILE,EQ,INE155A01022
TATAPOWER,Tata Power Co. Ltd.,POWER,EQ,INE245A01021
TATASTLBSL,Tata Steel BSL Ltd.,METALS,EQ,INE824B01021
TATASTEEL,Tata Steel Ltd.,METALS,EQ,INE081A01012
TEAMLEASE,Teamlease Services Ltd.,SERVICES,EQ,INE985S01024
TECHM,Tech Mahindra Ltd.,IT,EQ,INE669C01036
NIACL,The New India Assurance Company Ltd.,FINANCIAL SERVICES,EQ,INE470Y01017
RAMCOCEM,The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE331A01037
THERMAX,Thermax Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE152A01029
THYROCARE,Thyrocare Technologies Ltd.,HEALTHCARE SERVICES,EQ,INE594H01019
TIMETECHNO,Time Technoplast Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE508G01029
TIMKEN,Timken India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE325A01013
TITAN,Titan Company Ltd.,CONSUMER GOODS,EQ,INE280A01028
TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMA,EQ,INE685A01028
TORNTPOWER,Torrent Power Ltd.,POWER,EQ,INE813H01021
TRENT,Trent Ltd.,CONSUMER GOODS,EQ,INE849A01020
TRIDENT,Trident Ltd.,TEXTILES,EQ,INE064C01022
TIINDIA,Tube Investments of India Ltd.,AUTOMOBILE,EQ,INE974X01010
UCOBANK,UCO Bank,FINANCIAL SERVICES,EQ,INE691A01018
UFLEX,UFLEX Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE516A01017
UPL,UPL Ltd.,FERTILISERS & PESTICIDES,EQ,INE628A01036
UJJIVAN,Ujjivan Financial Services Ltd.,FINANCIAL SERVICES,EQ,INE334L01012
UJJIVANSFB,Ujjivan Small Finance Bank Ltd.,FINANCIAL SERVICES,EQ,INE551W01018
ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE481G01011
UNIONBANK,Union Bank of India,FINANCIAL SERVICES,EQ,INE692A01016
UBL,United Breweries Ltd.,CONSUMER GOODS,EQ,INE686F01025
MCDOWELL-N,United Spirits Ltd.,CONSUMER GOODS,EQ,INE854D01024
VGUARD,V-Guard Industries Ltd.,CONSUMER GOODS,EQ,INE951I01027
VMART,V-Mart Retail Ltd.,CONSUMER GOODS,EQ,INE665J01013
VIPIND,V.I.P. Industries Ltd.,CONSUMER GOODS,EQ,INE054A01027
VRLLOG,VRL Logistics Ltd.,SERVICES,EQ,INE366I01010
VSTIND,VST Industries Ltd.,CONSUMER GOODS,EQ,INE710A01016
VAIBHAVGBL,Vaibhav Global Ltd.,CONSUMER GOODS,EQ,INE884A01019
VAKRANGEE,Vakrangee Ltd.,IT,EQ,INE051B01021
VTL,Vardhman Textiles Ltd.,TEXTILES,EQ,INE825A01012
VARROC,Varroc Engineering Ltd.,AUTOMOBILE,EQ,INE665L01035
VBL,Varun Beverages Ltd.,CONSUMER GOODS,EQ,INE200M01013
VENKEYS,Venky's (India) Ltd.,CONSUMER GOODS,EQ,INE398A01010
VESUVIUS,Vesuvius India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE386A01015
VINATIORGA,Vinati Organics Ltd.,CHEMICALS,EQ,INE410B01037
IDEA,Vodafone Idea Ltd.,TELECOM,EQ,INE669E01016
VOLTAS,Voltas Ltd.,CONSUMER GOODS,EQ,INE226A01021
WABCOINDIA,WABCO India Ltd.,AUTOMOBILE,EQ,INE342J01019
WELCORP,Welspun Corp Ltd.,METALS,EQ,INE191B01025
WELSPUNIND,Welspun India Ltd.,TEXTILES,EQ,INE192B01031
WESTLIFE,Westlife Development Ltd.,SERVICES,EQ,INE274F01020
WHIRLPOOL,Whirlpool of India Ltd.,CONSUMER GOODS,EQ,INE716A01013
WIPRO,Wipro Ltd.,IT,EQ,INE075A01022
WOCKPHARMA,Wockhardt Ltd.,PHARMA,EQ,INE049B01025
ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,EQ,INE256A01028
ZENSARTECH,Zensar Technolgies Ltd.,IT,EQ,INE520A01027
ZYDUSWELL,Zydus Wellness Ltd.,CONSUMER GOODS,EQ,INE768C01010
ECLERX,eClerx Services Ltd.,IT,EQ,INE738I01010